Title,Authors,Publisher,Published Date,Description,Page Count,Genre,Language,Preview Link
To Sleep in a Sea of Stars,Christopher Paolini,Pan Macmillan,2020-09-15,"Goodreads Choice Award for Best Science Fiction Novel. To Sleep in a Sea of Stars is a masterful epic science fiction novel from the Sunday Times bestselling author of the Inheritance Cycle, Christopher Paolini. 'Action-packed SF adventure that zings along at hyperluminal speed' – Peter F. Hamilton Kira Navárez dreamed of life on new worlds. Now she’s awakened a nightmare. During a routine survey mission on an uncolonized planet, Kira finds an alien relic. At first she’s delighted, but elation turns to terror when the ancient dust around her begins to move. As war erupts among the stars, Kira is launched into a galaxy-spanning odyssey of discovery and transformation. First contact isn’t at all what she imagined, and events push her to the very limits of what it means to be human. While Kira faces her own horrors, Earth and its colonies stand upon the brink of annihilation. Now, Kira might be humanity’s greatest and final hope . . . Praise for Christopher Paolini and his work: 'Christopher Paolini is a true rarity' – Washington Post 'An authentic work of great talent' – New York Times Book Review 'A breathtaking and unheard of success' – USA Today 'Christopher Paolini makes literary magic' – People",1005,Fiction,en,http://books.google.co.in/books?id=6MzSDwAAQBAJ&printsec=frontcover&dq=Sci-fi&hl=&cd=30&source=gbs_api
Ready Player One,Ernest Cline,Random House,2011-08-18,"*THE BOOK BEHIND THE MAJOR MOTION PICTURE DIRECTED BY STEVEN SPIELBERG* 'Wildly original and stuffed with irresistible nostalgia, Ready Player One is a spectacularly genre-busting, ambitious, and charming debut' Independent 'Part intergalactic scavenger hunt, part romance, and all heart' CNN 'Ernest Cline's novel deserves to be a modern classic' SciFiNow 'Gorgeously geeky, superbly entertaining, this really is a spectacularly successful debut' Daily Mail _______________ A world at stake. A quest for the ultimate prize. Are you ready? It's the year 2044, and the real world has become an ugly place. We're out of oil. We've wrecked the climate. Famine, poverty, and disease are widespread. Like most of humanity, Wade Watts escapes this depressing reality by spending his waking hours jacked into the OASIS, a sprawling virtual utopia where you can be anything you want to be, where you can live and play and fall in love on any of ten thousand planets. And like most of humanity, Wade is obsessed by the ultimate lottery ticket that lies concealed within this alternate reality: OASIS founder James Halliday, who dies with no heir, has promised that control of the OASIS - and his massive fortune - will go to the person who can solve the riddles he has left scattered throughout his creation. For years, millions have struggled fruitlessly to attain this prize, knowing only that the riddles are based in the culture of the late twentieth century. And then Wade stumbles onto the key to the first puzzle. Suddenly, he finds himself pitted against thousands of competitors in a desperate race to claim the ultimate prize, a chase that soon takes on terrifying real-world dimensions - and that will leave both Wade and his world profoundly changed. _______________ Readers can't get enough of Ready Player One . . . ***** 'THAT WAS SO TOTALLY AWESOME, WOW!' ***** 'This is an exciting story, especially for geeks, and the key word is FUN.' ***** 'Ladies and gentlemen, from this day this book is my life and I will obsess over it constantly.' ***** 'I just kinda wanna cry right now. I'll have a proper review at some point, but I gotta let myself recover.' ***** 'I had the feeling while reading this book that it was written expressly for me. This is my childhood captured.'",303,Fiction,en,http://books.google.co.in/books?id=8qs1-ypf7e0C&printsec=frontcover&dq=Sci-fi&hl=&cd=32&source=gbs_api
Where Worlds Collide,Rob Shelsky,CreateSpace,2010-11-11,"A truly thrilling anthology of some of Rob Shelsky's darkest, science-fiction stories, with a great novella, Bug-Eyed Monsters, included. This one is a classic space opera and has been favorably compared to none other than Ed Hamilton's best work. With BEMs (Bug-Eyed Monsters), a bum and a babe, you will enter a fast-paced, action-packed story that will leave you absolutely breathless! But it doesn't end there. With a carefully selected series of stories that are darkly woven, along with thought-provoking tales, and even a couple humorous ones, just for fun, Where Worlds Collide is a marvelous compendium of tales of the future and the very weird, Whether you love post-apocalyptic plagues, aliens, bizarre creatures, lost star ships in space, worm holes to worlds in the throes of nuclear war, horribly destroyed civilizations, gory murder in deep space, or things Lovecraftian, you can bet that Where Worlds Collide, by renowned science fiction and horror author, Rob Shelsky, has it all. So take a trip where you can pick your world, where anything is possible, and a ride to Where Worlds Collide! Stories included in this anthology are: DreamTime, a harrowing tale of immortals versus mortals; Serpent Caravan, colonists struggling to survive on a world with dangerous aliens; Blue Flickers, people are changing, but nobody knows how or why; Bug-Eyed Monsters, an action-packed space opera; Blue Murder, a cozy sci-fi mystery; If Looks Could Kill, a dark tale of future Earth, This Narrow Isthmus, a luxury spaceship lost in space; Shiva, Mama Doc, And The Voodoo Computer, a tale of science and magic; Dystopia, a world where the super-state rules; Without Omens, a frightening answer to Fermi's ""Great Silence;"" Worm Sign, worm holes to dangerous Earths; Dance Of The Butterflies, a planet of mystery for explorers; and Soap Bubbles, a future solar system where all things human are quarantined from aliens, but the question is why?",244,Fiction,en,http://books.google.co.in/books?id=99VlewAACAAJ&dq=Sci-fi&hl=&cd=34&source=gbs_api
"Geeks, Babes and Sentient Vegetables Volume 3 Kicking Sci-Fi in the Roddenberries",Andrew Mitchell,Lulu.com,2012-03,"For those people who loved Star Wars, Star Trek and science fiction in general but don't take them too seriously. Every science fiction trope and cliché expertly mashed into one tale about a guy, his cat, his secret agent alien dancing girl and a talking 7 foot tall avocado. In the finest traditions of everything that was wrong with Star Wars, Star Trek, Aliens, Transformers and many more movies, television shows and video games all crammed into the day to day adventures of Will Campbell, average minimum wage employee at a miniature golf course. An epic quest across the galaxy filled unreasonable amounts of violence from highly impractical weapons and vague references to every science fiction masterpiece that came before it. Plus some really obscure ones and some no one has heard of before.",148,Fiction,en,http://books.google.co.in/books?id=5tSdAwAAQBAJ&printsec=frontcover&dq=Sci-fi&hl=&cd=36&source=gbs_api
The Man in the High Castle,Philip K. Dick,Houghton Mifflin Harcourt,2011,"Slavery is back. America, 1962. Having lost a war, America finds itself under Nazi Germany and Japan occupation. A few Jews still live under assumed names. The 'I Ching' is prevalent in San Francisco. Science fiction meets serious ideas in this take on a possible alternate history.",291,Fiction,en,http://books.google.co.in/books?id=NtukmPtq2l8C&printsec=frontcover&dq=Sci-fi&hl=&cd=37&source=gbs_api
THE MOON POOL,Abraham Merritt,e-artnow,2018-11-02,"This eBook has been formatted to the highest digital standards and adjusted for readability on all devices. The Moon Pool deals with an advanced race which has developed within the Earth's core. Eventually their most intelligent members create an offspring. This created entity encompasses both great good and great evil, but it slowly turns away from its creators and towards evil. The entity is called either the Dweller or the Shining One.",278,Fiction,en,http://books.google.co.in/books?id=caiSDwAAQBAJ&printsec=frontcover&dq=Sci-fi&hl=&cd=39&source=gbs_api
Cyborg Protector,Cara Bristol,Cara Bristol,2015-09-20,,141,Fiction,en,http://books.google.co.in/books?id=nXoqDwAAQBAJ&printsec=frontcover&dq=Sci-fi&hl=&cd=40&source=gbs_api
Sleeping With the Lights On,Darryl Jones,Oxford University Press,2018-10-04,"Four o'clock in the morning, and the lights are on and still there's no way we're going to sleep, not after the film we just saw. The book we just read. Fear is one of the most primal human emotions, and one of the hardest to reason with and dispel. So why do we scare ourselves? It seems almost mad that we would frighten ourselves for fun, and yet there are thousands of books, films, games, and other forms of entertainment designed to do exactly that. As Darryl Jones shows, the horror genre is huge. Ranging from vampires, ghosts, and werewolves to mad scientists, Satanists, and deranged serial killers, the cathartic release of scaring ourselves has made its appearance in everything from Shakespearean tragedies to internet memes. Exploring the key tropes of the genre, including its monsters, its psychological chills, and its love affair with the macabre, Darryl Jones discusses why horror stories disturb us, and how society responds to literary and film representations of the gruesome and taboo. Should the enjoyment of horror be regarded with suspicion? Are there different levels of the horrific, and should we distinguish between the commonly reviled carnage of contemporary torture porn and the culturally acceptable bloodbaths of ancient Greek tragedies? Analysing the way in which horror manifests multiple personalities, and has been used throughout history to articulate the fears and taboos of the current generation, Jones considers the continuing evolution of the genre today. As horror is mass marketed to mainstream society in the form of romantic vampires and blockbuster hits, it also continues to maintain its former shadowy presence on the edges of respectability, as banned films and violent internet phenomena push us to question both our own preconceptions and the terrifying capacity of human nature.",208,Literary Criticism,en,http://books.google.co.in/books?id=TTpxDwAAQBAJ&printsec=frontcover&dq=horror&hl=&cd=14&source=gbs_api
Household Horror,Marc Olivier,Indiana University Press,2020-02-11,"A scholar examines 14 everyday objects featured in horror films and how they manifest their power and speak to society’s fears. Take a tour of the house where a microwave killed a gremlin, a typewriter made Jack a dull boy, a sewing machine fashioned Carrie’s prom dress, and houseplants might kill you while you sleep. In Household Horror, Marc Olivier highlights the wonder, fear, and terrifying dimension of objects in horror cinema. Inspired by object-oriented ontology and the nonhuman turn in philosophy, Olivier places objects in film on par with humans, arguing, for example, that a sleeper sofa is as much the star of Sisters as Margot Kidder, that The Exorcist is about a possessed bed, and that Rosemary’s Baby is a conflict between herbal shakes and prenatal vitamins. Household Horror reinvigorates horror film criticism by investigating the unfathomable being of objects as seemingly benign as remotes, radiators, refrigerators, and dining tables. Olivier questions what Hitchcock’s Psycho tells us about shower curtains. What can we learn from Freddie Krueger’s greatest accomplice, the mattress? Room by room, Olivier considers the dark side of fourteen household objects to demonstrate how the objects in these films manifest their own power and connect with specific cultural fears and concerns. “Provides a lively and highly original contribution to horror studies. As a work on cinema, it introduces the reader to films that may be less well-known to casual fans and scholars; more conspicuously, it returns to horror staples, gleefully reanimating works that one might otherwise assume had been critically “done to death” (Psycho, The Exorcist, The Shining).” —Allan Cameron, University of Auckland",326,Literary Criticism,en,http://books.google.co.in/books?id=-ZzSDwAAQBAJ&printsec=frontcover&dq=horror&hl=&cd=24&source=gbs_api
Intensity,Dean Koontz,Bantam,2007-07-20,"#1 NEW YORK TIMES BESTSELLER • This ebook edition contains a special preview of Dean Koontz’s The Silent Corner. Past midnight, Chyna Shepard, twenty-six, gazes out a moonlit window, unable to sleep on her first night in the Napa Valley home of her best friend’s family. Instinct proves reliable. A murderous sociopath, Edgler Foreman Vess, has entered the house, intent on killing everyone inside. A self-proclaimed “homicidal adventurer,” Vess lives only to satisfy all appetites as they arise, to immerse himself in sensation, to live without fear, remorse, or limits, to live with intensity. Chyna is trapped in his deadly orbit. Chyna is a survivor, toughened by a lifelong struggle for safety and self-respect. Now she will be tested as never before. At first her sole aim is to get out alive—until, by chance, she learns the identity of Vess’s next intended victim, a faraway innocent only she can save. Driven by a newly discovered thirst for meaning beyond mere self-preservation, Chyna musters every inner resource she has to save an endangered girl . . . as moment by moment, the terrifying threat of Edgler Foreman Vess intensifies.",449,Fiction,en,http://books.google.co.in/books?id=trO__euWv6gC&dq=horror&hl=&cd=37&source=gbs_api
Money,David Kinley,,1904,,448,Money,en,http://books.google.co.in/books?id=KiQMAQAAIAAJ&printsec=frontcover&dq=money&hl=&cd=2&source=gbs_api
Money: Theory and Practice,"Jin Cao, Gerhard Illing",Springer Nature,2019-12-07,"This textbook provides an introduction to modern monetary economics for advanced undergraduates, highlighting the lessons learned from the recent financial crisis. The book presents both the core New Keynesian model and recent advances, taking into account financial frictions, and discusses recent research on an intuitive level based on simple static and two-period models, but also prepares readers for an extension to a truly dynamic analysis. Further, it offers a systematic perspective on monetary policy, covering a wide range of models to help readers gain a better understanding of controversial issues. Part I examines the long-run perspective, addressing classical monetary policy issues such as determination of the price level and interaction between monetary and fiscal policy. Part II introduces the core New Keynesian model, characterizing optimal monetary policy to stabilize short-term shocks. It discusses rules vs. discretion and the challenges arising from control errors, imperfect information and robustness issues. It also analyzes optimal control in the presence of an effective lower bound. Part III focuses on modelling financial frictions. It identifies the transmission mechanisms of monetary policy via banking and introduces models with incomplete markets, principal-agent problems, maturity mismatch and leverage cycles, to show why investors’ and intermediaries’ own stakes play a key role in lending with pro-cyclical features. In addition, it presents a tractable model for handling liquidity management and demonstrates that the need to sell assets in crisis amplifies the volatility of the real economy. Lastly, the book discusses the relation between monetary policy and financial stability, addressing systemic risk and the role of macro-prudential regulation.",412,Business & Economics,en,http://books.google.co.in/books?id=6kbCDwAAQBAJ&printsec=frontcover&dq=money&hl=&cd=3&source=gbs_api
The Psychology of Money,Morgan Housel,Harriman House Limited,2020-09-08,"Doing well with money isn’t necessarily about what you know. It’s about how you behave. And behavior is hard to teach, even to really smart people. Money—investing, personal finance, and business decisions—is typically taught as a math-based field, where data and formulas tell us exactly what to do. But in the real world people don’t make financial decisions on a spreadsheet. They make them at the dinner table, or in a meeting room, where personal history, your own unique view of the world, ego, pride, marketing, and odd incentives are scrambled together. In The Psychology of Money, award-winning author Morgan Housel shares 19 short stories exploring the strange ways people think about money and teaches you how to make better sense of one of life’s most important topics.",209,Business & Economics,en,http://books.google.co.in/books?id=TnrrDwAAQBAJ&printsec=frontcover&dq=money&hl=&cd=4&source=gbs_api
Money,Sergio M. Focardi,Routledge,2018-03-19,"By enabling the storage and transfer of purchasing power, money facilitates economic transactions and coordinates economic activity. But what is money? How is it generated? Distributed? How does money acquire value and that value change? How does money impact the economy, society? This book explores money as a system of ""tokens"" that represent the purchasing power of individual agents. It looks at how money developed from debt/credit relationships, barter and coins into a system of gold-backed currencies and bank credit and on to the present system of fiat money, bank credit, near-money and, more recently, digital currencies. The author successively examines how the money circuit has changed over the last 50 years, a period of stagnant wages, increased household borrowing and growing economic complexity, and argues for a new theory of economies as complex systems, coordinated by a banking and financial system. Money: What It Is, How It’s Created, Who Gets It and Why It Matters will be of interest to students of economics and finance theory and anyone wanting a more complete understanding of monetary theory, economics, money and banking.",188,Business & Economics,en,http://books.google.co.in/books?id=ARdSDwAAQBAJ&printsec=frontcover&dq=money&hl=&cd=5&source=gbs_api
The Principles of Money,James Laurence Laughlin,,1903,,628,Money,en,http://books.google.co.in/books?id=9eMoAAAAYAAJ&printsec=frontcover&dq=money&hl=&cd=10&source=gbs_api
The Power of Money,Robert Pringle,Palgrave Macmillan,2019-12-11,"Innovation in money is just as important as innovation in any other sphere of activity; money is always a “work in progress.” In fact, history shows societies have tried out a wide diversity of monetary arrangements. Ideas about money have played key roles at crucial turning points in world history and during national histories. Recently, a new global money space has been created, a joint venture between the public and private sector. This book explores the new money society that has grown up to inhabit this new space. The book has several aims: Firstly, the book shows how beliefs about money, as well as attitudes and values towards it, have varied between societies and over time, and specifically how they have changed over the modern era. Secondly, the book shows the powerful effects that changing ideas have had on events, including wars and revolutions, recessions, booms and financial crises. Thirdly, the book recounts the creation of a global money space, dated to the last quarter of the 20th century, and explores its features. Fourthly, the book describes some characteristics of the new money society that inhabits the global money space. Fifthly, the book shows how each society, and indeed successive generations of the same society, has made its own unique arrangements to govern money – i.e. how it comes to terms with the power of money. The author argues that we need to develop a new arrangement now and suggests that we have much to learn from recent creative work in a number of fields ranging from the sociology of money to contemporary art. This approach sheds new light on a number of controversial issues, including the rise of crony capitalism, growing social divisions, currency wars, and asset price bubbles.",0,Business & Economics,en,http://books.google.co.in/books?id=PhmhxgEACAAJ&dq=money&hl=&cd=11&source=gbs_api
The Woke Salaryman Crash Course on Capitalism & Money,The Woke Salaryman,John Wiley & Sons,2024-02-21,"Learn the rules of the game of capitalism so you can play to win and build wealth Crash Course on Capitalism and Money: Lessons from the World's Most Expensive City is not your typical personal finance guide. Written by the founders of the top personal finance blog in Singapore, this book acknowledges the frustrations many young people feel as they enter the world of money, and it shows you how to develop the mindset necessary to thrive for the rest of your life. Through visual storytelling, Crash Course on Capitalism and Money melds personal finance, economics, sociology, and psychology to create a book that shows you the path to financial success. If you're ready to rise above discontentment, accept the reality you find yourself in, and put in the work it takes to survive, then thrive in today's world—then this is the book for you. In this book, you'll find a collection of the most popular comics by The Woke Salaryman. The stories are accompanied by commentaries that offer additional context on how each story fits within the bigger framework of approaching the daunting challenge of navigating money, life and purpose in these times. Why you should get the book: It's a guided tour from the perspective of the disillusioned youth who feel like the game is rigged and the odds are stacked against their favor. The comics and illustrated essays make the technical and boring aspects of personal finance more accessible and interesting. Actionable step-by-step tips on how to make your first steps after graduation. The point is not just to make as much money as possible, but rather to think about personal finance as an important strategic aspect in your life, from which you can then achieve your life goals. For young people just beginning their personal finance journeys, as well as anyone who wants to make better financial and life choices while navigating the rules of capitalism and wealth, Crash Course on Capitalism and Money is a fun and enlightening read.",355,Business & Economics,en,http://books.google.co.in/books?id=Ktf2EAAAQBAJ&printsec=frontcover&dq=money&hl=&cd=12&source=gbs_api
Monetary Theory,George Nikolaus Halm,,1946,,520,Money,en,http://books.google.co.in/books?id=TQdIAQAAIAAJ&q=money&dq=money&hl=&cd=14&source=gbs_api
The History of Money,Jack Weatherford,Crown Currency,2009-09-23,"“If you’re interested in the revolutionary transformation of the meaning and use of money, this is the book to read!”—Charles R. Schwab Cultural anthropologist Jack Weatherford traces our relationship with money, from primitive man’s cowrie shells to the electronic cash card, from the markets of Timbuktu to the New York Stock Exchange. The History of Money explores how money and the myriad forms of exchange have affected humanity, and how they will continue to shape all aspects of our lives—economic, political, and personal. “A fascinating book about the force that makes the world go round—the dollars, pounds, francs, marks, bahts, ringits, kwansas, levs, biplwelles, yuans, quetzales, pa’angas, ngultrums, ouguiyas, and other 200-odd brand names that collectively make up the mysterious thing we call money.”—Los Angeles Times",305,Business & Economics,en,http://books.google.co.in/books?id=v8oxCs1eWgsC&printsec=frontcover&dq=money&hl=&cd=16&source=gbs_api
Money and the Economic Process,Sheila C. Dow,Edward Elgar Publishing,1993,"The common ground between money's role in the economic process at the regional, national and international levels has been highlighted by developments in Europe. Money and the Economic Process provides a theoretical perspective for understandin that role, and working out policy solutions within a changing behavioural and institutional environment.",240,Business & Economics,en,http://books.google.co.in/books?id=kbCiAAAAIAAJ&q=money&dq=money&hl=&cd=17&source=gbs_api
The Emotional Life of Money,Mary Cross,Bloomsbury Publishing USA,2017-09-15,"This fascinating book illustrates how human behavior regarding money is triggered by emotion and powered by our psychic makeup, empowering readers to better understand their own behavior and decision making with money. Beyond being an essential medium of exchange, money carries deep psychological significance: having enough of it confers power and status and provides the potential to sustain our lifestyle and fulfill our desires. Not having money triggers a breadth of negative emotions. This book explores the psychological payload money carries and the emotional effects it generates, allowing readers to better understand people's behavior with money and its effects on their own lives. The Emotional Life of Money: How Money Changes the Way We Think and Feel identifies common hang-ups and anxieties about money; summarizes current academic research on money behavior and how people make decisions about their money; discusses the newest branch of economics, behavioral economics; and explores the possibility of the disappearance of cash in the digital future. General readers will be able to comprehend why money has often generated intense feelings of desire, greed, envy, elation, and other emotions, as well as sense of status; and undergraduate students in psychology, economics, and sociology courses will benefit from learning about the latest research on behavior economics and the powerful psychological and emotional effects of money.",198,Business & Economics,en,http://books.google.co.in/books?id=H3zCEAAAQBAJ&printsec=frontcover&dq=money&hl=&cd=18&source=gbs_api
What is Money?,Rebecca Rissman,,2008,,24,Money,en,http://books.google.co.in/books?id=TO5xlAEACAAJ&dq=money&hl=&cd=19&source=gbs_api
101 Ways to Be Smart about Money,Rebecca Vickers,Raintree,2012-08-10,Offers tips and advice on matters of personal finance.,58,Business & Economics,en,http://books.google.co.in/books?id=ZIdbFmjd2FgC&printsec=frontcover&dq=money&hl=&cd=20&source=gbs_api
The Reality of Money,Eyja M. Brynjarsdóttir,Values and Identities: Crossing Philosophical Borders,2018,"A metaphysical investigation of money and monetary value, exploring money as a social phenomenon, the metaphysics of financial value, materialism and measurement.",0,Money,en,http://books.google.co.in/books?id=131hrgEACAAJ&dq=money&hl=&cd=21&source=gbs_api
Mad Money Journey,Mehrab Irani,Jaico Publishing House,2014-08-26,"Mehrab’s latest book is a sweeping tale of mystery and adventure, with deep revelations on the nature of man and money. Tired of his energy- and money-draining middle-class life, Dr John Pinto decides to end it all by walking into oncoming traffic. But Life has other plans for him! Through a quirky twist of fate, John finds himself saved and launched into a financial pilgrimage across the world. Through a whirligig of exotic, shocking and sometimes dangerous encounters, he learns what it means to be financially independent. The school of Life introduces him to people who have learned the 10 commandments of financial freedom the hard way. From Afghani terrorists to Kenyan marathon runners, from Bangkok prostitutes to Chinese mystics and many more –­ each soul on this incredible journey holds a key insight into the relationship between man and money. To achieve true freedom, John will have to face it all –­ a turbulent odyssey of hair-raising adventure, unexpected teachers, monetary rewards and an overarching mission. A dazzling novel, written with wit, compassion, intelligence and deep humanity; travel with John Pinto to unearth the secrets of a rich life. MEHRAB IRANI is General Manager, Investments, at Tata Investment Corporation, Mumbai. He has diverse experience in both equity and fixed income markets, including research, dealing and portfolio management. Mehrab is fired by an almost missionary zeal for spreading financial knowledge among investors. His ability to connect abstract concepts to real life situations using his powerful imagination and plethora of skills reverberates through all his work. He is a prolific writer for newspapers, websites and his blog: www.intelligentmoney.blogspot.com. He also appears regularly on CNBC, ET Now, NDTV Profit, Bloomerg and radio.",209,Business & Economics,en,http://books.google.co.in/books?id=O6daBAAAQBAJ&printsec=frontcover&dq=money&hl=&cd=22&source=gbs_api
The Truth in Money Book,"Theodore R. Thoren, Richard F. Warner",,1980,,188,Business & Economics,en,http://books.google.co.in/books?id=n61PAAAAMAAJ&q=money&dq=money&hl=&cd=23&source=gbs_api
The Real Meaning of Money,Dorothy Rowe,HarperCollins UK,1998,"Rowe unravels the complex network of paradoxes which make up daily life to show how the individual meanings created, particularly those concerning money, are a fundamental part of the social, economic and political world we live in. Previously published in 1997.",494,Business & Economics,en,http://books.google.co.in/books?id=WdqeAAAAIAAJ&q=money&dq=money&hl=&cd=24&source=gbs_api
The Lack of Money is the Root of All Evil,Andrew Leckey,,2001,"Mark Twain loved to poke fun at the financial markets and the irresistible urge of speculation. Using Twain's words, financial journalist Leckey imparts the lessons today's investor can learn from Twain, combing his novels, stories, speeches, and letters for telling sayings about making, saving, guarding, and growing money.",264,Business & Economics,en,http://books.google.co.in/books?id=UcLZAAAAMAAJ&q=money&dq=money&hl=&cd=28&source=gbs_api
The Secret Life of Money,Tad Crawford,Simon and Schuster,2020-10-06,"The Secret Life of Money leads readers on a fascinating journey to uncover the sources of our monetary desires and, by understanding why money has the power to obsess us, free ourselves from destructive patterns and discover riches of the soul. This wide-ranging treatment of how money secretly influences our lives includes chapters on the many forms of money, why money is so easily worshipped, why money sometimes feels more important than life, hoarding money, the source of riches, inheritance, and the stock market. Crawford, a teller of entertaining tales, gathers stories and myths from around the world that help us understand why money is so much more than the useful tool that we may think it to be. Allworth Press, an imprint of Skyhorse Publishing, publishes a broad range of books on the visual and performing arts, with emphasis on the business of art. Our titles cover subjects such as graphic design, theater, branding, fine art, photography, interior design, writing, acting, film, how to start careers, business and legal forms, business practices, and more. While we don't aspire to publish a New York Times bestseller or a national bestseller, we are deeply committed to quality books that help creative professionals succeed and thrive. We often publish in areas overlooked by other publishers and welcome the author whose expertise can help our audience of readers.",250,Business & Economics,en,http://books.google.co.in/books?id=1s3_DwAAQBAJ&printsec=frontcover&dq=money&hl=&cd=29&source=gbs_api
Understanding Money,"Aditya Nain, P. G. Jung",Routledge Chapman & Hall,2021,"Economics and the Philosophical Discourse on Money -- On Conceptual Frameworks and the Role of a Philosophical Discourse on Money -- Aristotle and the Philosophical Discourse on Money: Ethics, Politics and the Nature of Monetary Value -- Objects, Money and the Grounds of Monetary Value -- Money and the Modern Scientific Paradigm -- The Political Economists, their Critics and the Long Shadow of Aristotle -- The Traditional Paradigm of Monetary Value and the Philosophical Problems surrounding it -- Moving Beyond the Substantive Framework of Monetary Value: Voices of Discontentment -- Origin of Money: The Barter Narrative and the Credit theory of Money -- Simmel and the Myth of Objective Truths Concerning Monetary Value -- Money Is What Money Does -- The constructivist paradigm: how are we to understand monetary value? -- Substance and Relation: Two Sides of the Same Coin -- Fleshing out the multi-categorical, constructivist framework for monetary value -- Why a constructivist framework of monetary value?",148,Money,en,http://books.google.co.in/books?id=tRw3zgEACAAJ&dq=money&hl=&cd=31&source=gbs_api
Money,Rudolf Richter,Springer,1989-09-07,"The central idea of this book is the concept of a currency order. Monetary theory is developed as a theory of currency orders. The book expands the neoclassical theory of currency orders. This new way of looking at the problems permits a general view of the subject matter of monetary theory and policy which so far does not exist. The concept of transaction costs is used throughout. The book deals not only with the theories of the demand for and the supply of money, the banking firm, and the purchasing power of money. It also presents a theoretically based discussion of the great topics of monetary policy of our time: fixed vs. flexible exchange rates, gold vs. paper, rules vs. authority for the central banks, governmental currency monopoly vs. competition of private currencies, regulation vs. deregulation of commercial banks. The book is suitable as a text for students with a knowledge of money and banking and intermediate microeconomics. It offers a consistent and well-written presentation of the subject matter, as well as an extensive list of further readings.",399,Business & Economics,en,http://books.google.co.in/books?id=x6bZtwEACAAJ&dq=money&hl=&cd=33&source=gbs_api
The Future of Money,Robert A. Hendrickson,"Englewood Cliffs, N.J : Prentice-Hall",1970,,360,Business & Economics,en,http://books.google.co.in/books?id=PtyeAAAAIAAJ&q=money&dq=money&hl=&cd=34&source=gbs_api
The Cost of Free Money,Paola Subacchi,Yale University Press,2020-09-15,"A penetrating account of how unchecked capital mobility is damaging international cooperation, polarizing the economic landscape, and ultimately reshaping the global order When it comes to the afflictions of the global economy, almost everyone—and especially Donald Trump—is quick to point the finger of blame at the state of international trade. But what about unconstrained capital flows? Unfettered capital has resulted in a string of financial and economic crises that have left our political systems strained and dialogue corroded. The once perceived benefits of openness have been cast to the wayside and the cracks in the global order can no longer be ignored. Paola Subacchi argues that international cooperation and interdependence have become crippled. Regional restrictions will soon strengthen and a multipolar order will take shape, leading to a distinctly transformed economic landscape in which China challenges the dominance of the US dollar. Combining history, analysis, and prediction, this book provides penetrating insight into the challenges facing the international economic order.",315,Business & Economics,en,http://books.google.co.in/books?id=4vnyDwAAQBAJ&printsec=frontcover&dq=money&hl=&cd=36&source=gbs_api
A Spiritual Guide to Money,"Mark S. Waldman, Ph.D, CFP",Xlibris Corporation,2001-07-13,"A Spiritual Guide to Money is a special kind of book. It is designed to give the serious seeker powerful tools to gain inner freedom and genuine spiritual experience. Like fishes swimming in the sea, unconscious of the water, we are unconscious of the psychological, emotional, and spiritual associations and reactions we have to the world of money that is all around us. Gaining awareness of these powerful beliefs, attitudes, and behaviors is a major step towards inner freedom. And inner freedom opens us to an entirely new spiritual awareness of ourselves and the world, regardless of the religious or spiritual tradition we follow. This book is full of stories that amuse and enlighten, and exercises that help the reader apply the book’s approach in his or her own life. It works at the psychological as well as on the spiritual level. It is written in nontechnical, easy-to-understand terms, and the easy, humorous tone it takes makes it fun to read. No matter what your spiritual beliefs, you can benefit from and enjoy reading this special book. Your relationship with money will never be the same again!",154,Business & Economics,en,http://books.google.co.in/books?id=Icdv4ty8-bkC&printsec=frontcover&dq=money&hl=&cd=37&source=gbs_api
The Money Book,Vivek Law,Rupa Publications India,2016,"Everyone is told to save money, as our savings add up over the years to help secure our future. But what if you want your money to multiply? Today, you can start with investing as little as 1000 early on and not just dream of, but actually opt for, an early retirement. In this book, using relatable examples, Vivek Law, one of India's most experienced personal finance journalists, simplifies the process of saving and investing to bring you the best possible ways to multiply your money. Decoding terms like Mutual Funds, Equities and Life Insurance in a manner that will not bore you to death, he shows that you need not toil throughout your life to have a secure and comfortable lifestyle. Backed by market research spread over decades and with tips from the country's biggest money managers, The Money Book will help you get the one thing that everyone always needs and wants more of-money. It's time to live the life you deserve, not the one you settled for.",194,Business & Economics,en,http://books.google.co.in/books?id=3QLzjwEACAAJ&dq=money&hl=&cd=40&source=gbs_api
English Drama: Forms and Development,Muriel Clara Bradbrook,Cambridge University Press,1977-10-20,Ten original essays on English drama from Tudor times onwards examines different aspects on the development of this art form.,278,Literary Criticism,en,http://books.google.co.in/books?id=DgizRLb9_AsC&printsec=frontcover&dq=Drama&hl=&cd=3&source=gbs_api
Modern Verse Drama,Arnold P. Hinchliffe,Routledge,2017-07-14,"First published in 1977, this book provides a clear and well-illustrated analysis of modern verse drama. It studies the work of its chief exponents, T. S. Eliot and Christopher Fry, as well as the genre’s place in the development of modern theatre. It particular focuses on the effect that verse drama has had on an audience’s awareness of language in the theatre, paving the way for dramatists like Pinter, Beckett and Wesker. This book will be of particular interest to those studying modern poetry and drama.",98,Literary Criticism,en,http://books.google.co.in/books?id=C68sDwAAQBAJ&printsec=frontcover&dq=Drama&hl=&cd=4&source=gbs_api
